min,CH1,CH2,CH40,CH41,CH42,
,485688,485688,485688,485688,485688,
54.05,5.86744,0.0823975,5.70407,27.2727,390361,
54.0501,5.87506,0.0732422,5.70825,27.2727,418902,
54.0501,5.88364,0.0701904,5.71272,27.2727,446402,
54.0501,5.89126,0.0701904,5.71745,27.2727,472937,
54.0502,5.89983,0.0762939,5.72243,27.2727,498487,
54.0502,5.9084,0.0701904,5.72766,27.2727,523131,
54.0502,5.91698,0.0671387,5.73313,27.2727,546942,
54.0503,5.92555,0.0701904,5.73883,27.2727,569901,
54.0503,5.93412,0.0701904,5.74475,27.2727,591993,
54.0503,5.94269,0.0732422,5.75088,27.2727,613209,
54.0504,5.95127,0.0701904,5.75722,27.2727,633544,
54.0504,5.95984,0.0701904,5.76375,27.2727,652995,
54.0504,5.96937,0.0640869,5.77047,27.2727,671654,
54.0505,5.97984,0.0762939,5.77736,27.2727,689788,
54.0505,5.98937,0.0610352,5.78444,27.2727,707552,
54.0505,5.99985,0.0732422,5.79169,27.2727,724912,
54.0506,6.01033,0.0640869,5.79911,27.2727,741926,
54.0506,6.0208,0.0610352,5.8067,27.2727,758648,
54.0506,6.03223,0.0610352,5.81445,27.2727,775132,
54.0507,6.04176,0.0701904,5.82236,27.2727,791334,
54.0507,6.05224,0.0671387,5.83043,27.2727,807037,
54.0507,6.06272,0.0671387,5.83865,27.2727,822225,
54.0508,6.07224,0.0701904,5.84702,27.2727,836884,
54.0508,6.08177,0.0671387,5.85553,27.2727,850824,
54.0508,6.09129,0.0640869,5.86417,27.2727,863962,
54.0509,6.09987,0.0549316,5.87293,27.2727,876228,
54.0509,6.10844,0.0701904,5.88181,27.2727,887470,
54.0509,6.11701,0.0732422,5.89078,27.2727,897641,
54.051,6.12463,0.0732422,5.89985,27.2727,906705,
54.051,6.13321,0.0701904,5.909,27.2727,914632,
54.051,6.14083,0.0671387,5.91821,27.2727,921488,
54.0511,6.14749,0.0610352,5.92748,27.2727,927159,
54.0511,6.15511,0.0762939,5.9368,27.2727,931543,
54.0511,6.16274,0.0640869,5.94615,27.2727,934824,
54.0512,6.17036,0.0762939,5.95552,27.2727,937174,
54.0512,6.17702,0.0640869,5.9649,27.2727,938571,
54.0512,6.18464,0.0671387,5.97429,27.2727,939003,
54.0513,6.19226,0.0610352,5.98368,27.2727,938640,
54.0513,6.19988,0.0671387,5.99306,27.2727,937640,
54.0513,6.20655,0.0640869,6.00242,27.2727,935971,
54.0514,6.21417,0.0640869,6.01175,27.2727,933608,
54.0514,6.22084,0.0671387,6.02106,27.2727,930617,
54.0514,6.22846,0.0671387,6.03033,27.2727,927063,
54.0515,6.23703,0.0671387,6.03956,27.2727,923188,
54.0515,6.24466,0.0701904,6.04875,27.2727,919214,
54.0515,6.25418,0.0610352,6.05791,27.2727,915253,
54.0516,6.26275,0.0640869,6.06702,27.2727,911501,
54.0516,6.27323,0.0640869,6.0761,27.2727,908133,
54.0516,6.28276,0.0549316,6.08515,27.2727,905309,
54.0517,6.29324,0.0579834,6.09419,27.2727,903083,
54.0517,6.30371,0.0579834,6.1032,27.2727,901504,
